pollutant,date_local,time_local,date_gmt,time_gmt,value,units_of_measure,datetime_local
Ozone,2020-09-15,08:00,2020-09-15,16:00,0.013,Parts per million,2020-09-15 08:00:00
Ozone,2020-09-15,09:00,2020-09-15,17:00,0.015,Parts per million,2020-09-15 09:00:00
Ozone,2020-09-15,10:00,2020-09-15,18:00,0.021,Parts per million,2020-09-15 10:00:00
Ozone,2020-09-15,11:00,2020-09-15,19:00,0.025,Parts per million,2020-09-15 11:00:00
Ozone,2020-09-15,12:00,2020-09-15,20:00,0.026,Parts per million,2020-09-15 12:00:00
Ozone,2020-09-15,13:00,2020-09-15,21:00,0.029,Parts per million,2020-09-15 13:00:00
Ozone,2020-09-15,14:00,2020-09-15,22:00,0.029,Parts per million,2020-09-15 14:00:00
Ozone,2020-09-15,15:00,2020-09-15,23:00,0.026,Parts per million,2020-09-15 15:00:00
Ozone,2020-09-15,16:00,2020-09-16,00:00,0.016,Parts per million,2020-09-15 16:00:00
Ozone,2020-09-15,17:00,2020-09-16,01:00,0.01,Parts per million,2020-09-15 17:00:00
Ozone,2020-09-15,18:00,2020-09-16,02:00,0.011,Parts per million,2020-09-15 18:00:00
Ozone,2020-09-15,19:00,2020-09-16,03:00,0.008,Parts per million,2020-09-15 19:00:00
Ozone,2020-09-15,20:00,2020-09-16,04:00,0.008,Parts per million,2020-09-15 20:00:00
Ozone,2020-09-15,21:00,2020-09-16,05:00,0.007,Parts per million,2020-09-15 21:00:00
Ozone,2020-09-15,22:00,2020-09-16,06:00,0.008,Parts per million,2020-09-15 22:00:00
Ozone,2020-09-15,23:00,2020-09-16,07:00,0.006,Parts per million,2020-09-15 23:00:00
Ozone,2020-09-16,00:00,2020-09-16,08:00,0.004,Parts per million,2020-09-16 00:00:00
Ozone,2020-09-16,01:00,2020-09-16,09:00,0.005,Parts per million,2020-09-16 01:00:00
Ozone,2020-09-16,02:00,2020-09-16,10:00,,Parts per million,2020-09-16 02:00:00
Ozone,2020-09-16,03:00,2020-09-16,11:00,,Parts per million,2020-09-16 03:00:00
Ozone,2020-09-16,04:00,2020-09-16,12:00,0.004,Parts per million,2020-09-16 04:00:00
Ozone,2020-09-16,05:00,2020-09-16,13:00,0.003,Parts per million,2020-09-16 05:00:00
Ozone,2020-09-16,06:00,2020-09-16,14:00,0.003,Parts per million,2020-09-16 06:00:00
Ozone,2020-09-16,07:00,2020-09-16,15:00,0.004,Parts per million,2020-09-16 07:00:00
Ozone,2020-09-16,08:00,2020-09-16,16:00,0.005,Parts per million,2020-09-16 08:00:00
Ozone,2020-09-16,09:00,2020-09-16,17:00,0.008,Parts per million,2020-09-16 09:00:00
Ozone,2020-09-16,10:00,2020-09-16,18:00,0.012,Parts per million,2020-09-16 10:00:00
Ozone,2020-09-16,11:00,2020-09-16,19:00,0.015,Parts per million,2020-09-16 11:00:00
Ozone,2020-09-16,12:00,2020-09-16,20:00,0.019,Parts per million,2020-09-16 12:00:00
Ozone,2020-09-16,13:00,2020-09-16,21:00,0.021,Parts per million,2020-09-16 13:00:00
Ozone,2020-09-16,14:00,2020-09-16,22:00,0.023,Parts per million,2020-09-16 14:00:00
Ozone,2020-09-16,15:00,2020-09-16,23:00,0.016,Parts per million,2020-09-16 15:00:00
Ozone,2020-09-16,16:00,2020-09-17,00:00,0.01,Parts per million,2020-09-16 16:00:00
Ozone,2020-09-16,17:00,2020-09-17,01:00,0.008,Parts per million,2020-09-16 17:00:00
Ozone,2020-09-16,18:00,2020-09-17,02:00,0.005,Parts per million,2020-09-16 18:00:00
Ozone,2020-09-16,19:00,2020-09-17,03:00,0.003,Parts per million,2020-09-16 19:00:00
Ozone,2020-09-16,20:00,2020-09-17,04:00,0.002,Parts per million,2020-09-16 20:00:00
Ozone,2020-09-16,21:00,2020-09-17,05:00,0.004,Parts per million,2020-09-16 21:00:00
Ozone,2020-09-16,22:00,2020-09-17,06:00,0.006,Parts per million,2020-09-16 22:00:00
Ozone,2020-09-16,23:00,2020-09-17,07:00,0.005,Parts per million,2020-09-16 23:00:00
Ozone,2020-09-17,00:00,2020-09-17,08:00,0.002,Parts per million,2020-09-17 00:00:00
Ozone,2020-09-17,01:00,2020-09-17,09:00,0.004,Parts per million,2020-09-17 01:00:00
Ozone,2020-09-17,02:00,2020-09-17,10:00,,Parts per million,2020-09-17 02:00:00
Ozone,2020-09-17,03:00,2020-09-17,11:00,0.006,Parts per million,2020-09-17 03:00:00
Ozone,2020-09-17,04:00,2020-09-17,12:00,0.004,Parts per million,2020-09-17 04:00:00
Ozone,2020-09-17,05:00,2020-09-17,13:00,0.003,Parts per million,2020-09-17 05:00:00
Ozone,2020-09-17,06:00,2020-09-17,14:00,0.004,Parts per million,2020-09-17 06:00:00
Ozone,2020-09-17,07:00,2020-09-17,15:00,0.004,Parts per million,2020-09-17 07:00:00
Ozone,2020-09-17,08:00,2020-09-17,16:00,0.005,Parts per million,2020-09-17 08:00:00
Ozone,2020-09-17,09:00,2020-09-17,17:00,0.007,Parts per million,2020-09-17 09:00:00
Ozone,2020-09-17,10:00,2020-09-17,18:00,0.009,Parts per million,2020-09-17 10:00:00
Ozone,2020-09-17,11:00,2020-09-17,19:00,0.012,Parts per million,2020-09-17 11:00:00
Ozone,2020-09-17,12:00,2020-09-17,20:00,0.017,Parts per million,2020-09-17 12:00:00
Ozone,2020-09-17,13:00,2020-09-17,21:00,0.022,Parts per million,2020-09-17 13:00:00
Ozone,2020-09-17,14:00,2020-09-17,22:00,0.024,Parts per million,2020-09-17 14:00:00
Ozone,2020-09-17,15:00,2020-09-17,23:00,0.022,Parts per million,2020-09-17 15:00:00
Ozone,2020-09-17,16:00,2020-09-18,00:00,0.022,Parts per million,2020-09-17 16:00:00
Ozone,2020-09-17,17:00,2020-09-18,01:00,0.017,Parts per million,2020-09-17 17:00:00
Ozone,2020-09-17,18:00,2020-09-18,02:00,0.018,Parts per million,2020-09-17 18:00:00
Ozone,2020-09-17,19:00,2020-09-18,03:00,0.017,Parts per million,2020-09-17 19:00:00
Ozone,2020-09-17,20:00,2020-09-18,04:00,0.015,Parts per million,2020-09-17 20:00:00
Ozone,2020-09-17,21:00,2020-09-18,05:00,0.02,Parts per million,2020-09-17 21:00:00
Ozone,2020-09-17,22:00,2020-09-18,06:00,0.022,Parts per million,2020-09-17 22:00:00
Ozone,2020-09-17,23:00,2020-09-18,07:00,0.02,Parts per million,2020-09-17 23:00:00
PM2.5,2020-09-03,00:00,2020-09-03,08:00,36.0,Micrograms/cubic meter (LC),2020-09-03 00:00:00
PM2.5,2020-09-03,01:00,2020-09-03,09:00,31.0,Micrograms/cubic meter (LC),2020-09-03 01:00:00
PM2.5,2020-09-03,02:00,2020-09-03,10:00,16.0,Micrograms/cubic meter (LC),2020-09-03 02:00:00
PM2.5,2020-09-03,03:00,2020-09-03,11:00,28.0,Micrograms/cubic meter (LC),2020-09-03 03:00:00
PM2.5,2020-09-03,04:00,2020-09-03,12:00,43.0,Micrograms/cubic meter (LC),2020-09-03 04:00:00
PM2.5,2020-09-03,05:00,2020-09-03,13:00,52.0,Micrograms/cubic meter (LC),2020-09-03 05:00:00
PM2.5,2020-09-03,06:00,2020-09-03,14:00,32.0,Micrograms/cubic meter (LC),2020-09-03 06:00:00
PM2.5,2020-09-03,07:00,2020-09-03,15:00,29.0,Micrograms/cubic meter (LC),2020-09-03 07:00:00
PM2.5,2020-09-03,08:00,2020-09-03,16:00,21.0,Micrograms/cubic meter (LC),2020-09-03 08:00:00
PM2.5,2020-09-03,09:00,2020-09-03,17:00,35.0,Micrograms/cubic meter (LC),2020-09-03 09:00:00
PM2.5,2020-09-03,10:00,2020-09-03,18:00,84.0,Micrograms/cubic meter (LC),2020-09-03 10:00:00
PM2.5,2020-09-03,11:00,2020-09-03,19:00,78.0,Micrograms/cubic meter (LC),2020-09-03 11:00:00
PM2.5,2020-09-03,12:00,2020-09-03,20:00,44.0,Micrograms/cubic meter (LC),2020-09-03 12:00:00
PM2.5,2020-09-03,13:00,2020-09-03,21:00,42.0,Micrograms/cubic meter (LC),2020-09-03 13:00:00
PM2.5,2020-09-03,14:00,2020-09-03,22:00,34.0,Micrograms/cubic meter (LC),2020-09-03 14:00:00
PM2.5,2020-09-03,15:00,2020-09-03,23:00,30.0,Micrograms/cubic meter (LC),2020-09-03 15:00:00
PM2.5,2020-09-03,16:00,2020-09-04,00:00,19.0,Micrograms/cubic meter (LC),2020-09-03 16:00:00
PM2.5,2020-09-03,17:00,2020-09-04,01:00,16.0,Micrograms/cubic meter (LC),2020-09-03 17:00:00
PM2.5,2020-09-03,18:00,2020-09-04,02:00,17.0,Micrograms/cubic meter (LC),2020-09-03 18:00:00
PM2.5,2020-09-03,19:00,2020-09-04,03:00,16.0,Micrograms/cubic meter (LC),2020-09-03 19:00:00
PM2.5,2020-09-03,20:00,2020-09-04,04:00,20.0,Micrograms/cubic meter (LC),2020-09-03 20:00:00
PM2.5,2020-09-03,21:00,2020-09-04,05:00,17.0,Micrograms/cubic meter (LC),2020-09-03 21:00:00
PM2.5,2020-09-03,22:00,2020-09-04,06:00,21.0,Micrograms/cubic meter (LC),2020-09-03 22:00:00
PM2.5,2020-09-03,23:00,2020-09-04,07:00,28.0,Micrograms/cubic meter (LC),2020-09-03 23:00:00
PM2.5,2020-09-04,00:00,2020-09-04,08:00,36.0,Micrograms/cubic meter (LC),2020-09-04 00:00:00
PM2.5,2020-09-04,01:00,2020-09-04,09:00,36.0,Micrograms/cubic meter (LC),2020-09-04 01:00:00
PM2.5,2020-09-04,02:00,2020-09-04,10:00,37.0,Micrograms/cubic meter (LC),2020-09-04 02:00:00
PM2.5,2020-09-04,03:00,2020-09-04,11:00,23.0,Micrograms/cubic meter (LC),2020-09-04 03:00:00
PM2.5,2020-09-04,04:00,2020-09-04,12:00,18.0,Micrograms/cubic meter (LC),2020-09-04 04:00:00
PM2.5,2020-09-04,05:00,2020-09-04,13:00,8.0,Micrograms/cubic meter (LC),2020-09-04 05:00:00
PM2.5,2020-09-04,06:00,2020-09-04,14:00,19.0,Micrograms/cubic meter (LC),2020-09-04 06:00:00
PM2.5,2020-09-04,07:00,2020-09-04,15:00,24.0,Micrograms/cubic meter (LC),2020-09-04 07:00:00
PM2.5,2020-09-04,08:00,2020-09-04,16:00,20.0,Micrograms/cubic meter (LC),2020-09-04 08:00:00
PM2.5,2020-09-04,09:00,2020-09-04,17:00,13.0,Micrograms/cubic meter (LC),2020-09-04 09:00:00
PM2.5,2020-09-04,10:00,2020-09-04,18:00,16.0,Micrograms/cubic meter (LC),2020-09-04 10:00:00
PM2.5,2020-09-04,11:00,2020-09-04,19:00,20.0,Micrograms/cubic meter (LC),2020-09-04 11:00:00
PM2.5,2020-09-04,12:00,2020-09-04,20:00,18.0,Micrograms/cubic meter (LC),2020-09-04 12:00:00
PM2.5,2020-09-04,13:00,2020-09-04,21:00,30.0,Micrograms/cubic meter (LC),2020-09-04 13:00:00
PM2.5,2020-09-04,14:00,2020-09-04,22:00,24.0,Micrograms/cubic meter (LC),2020-09-04 14:00:00
PM2.5,2020-09-04,15:00,2020-09-04,23:00,18.0,Micrograms/cubic meter (LC),2020-09-04 15:00:00
PM2.5,2020-09-04,16:00,2020-09-05,00:00,21.0,Micrograms/cubic meter (LC),2020-09-04 16:00:00
PM2.5,2020-09-04,17:00,2020-09-05,01:00,18.0,Micrograms/cubic meter (LC),2020-09-04 17:00:00
PM2.5,2020-09-04,18:00,2020-09-05,02:00,23.0,Micrograms/cubic meter (LC),2020-09-04 18:00:00
PM2.5,2020-09-04,19:00,2020-09-05,03:00,20.0,Micrograms/cubic meter (LC),2020-09-04 19:00:00
PM2.5,2020-09-04,20:00,2020-09-05,04:00,18.0,Micrograms/cubic meter (LC),2020-09-04 20:00:00
PM2.5,2020-09-04,21:00,2020-09-05,05:00,22.0,Micrograms/cubic meter (LC),2020-09-04 21:00:00
PM2.5,2020-09-04,22:00,2020-09-05,06:00,21.0,Micrograms/cubic meter (LC),2020-09-04 22:00:00
PM2.5,2020-09-04,23:00,2020-09-05,07:00,21.0,Micrograms/cubic meter (LC),2020-09-04 23:00:00
PM2.5,2020-09-05,00:00,2020-09-05,08:00,20.0,Micrograms/cubic meter (LC),2020-09-05 00:00:00
PM2.5,2020-09-05,01:00,2020-09-05,09:00,15.0,Micrograms/cubic meter (LC),2020-09-05 01:00:00
PM2.5,2020-09-05,02:00,2020-09-05,10:00,13.0,Micrograms/cubic meter (LC),2020-09-05 02:00:00
PM2.5,2020-09-05,03:00,2020-09-05,11:00,15.0,Micrograms/cubic meter (LC),2020-09-05 03:00:00
PM2.5,2020-09-05,04:00,2020-09-05,12:00,14.0,Micrograms/cubic meter (LC),2020-09-05 04:00:00
PM2.5,2020-09-05,05:00,2020-09-05,13:00,16.0,Micrograms/cubic meter (LC),2020-09-05 05:00:00
PM2.5,2020-09-05,06:00,2020-09-05,14:00,19.0,Micrograms/cubic meter (LC),2020-09-05 06:00:00
PM2.5,2020-09-05,07:00,2020-09-05,15:00,18.0,Micrograms/cubic meter (LC),2020-09-05 07:00:00
PM2.5,2020-09-05,08:00,2020-09-05,16:00,17.0,Micrograms/cubic meter (LC),2020-09-05 08:00:00
PM2.5,2020-09-05,09:00,2020-09-05,17:00,20.0,Micrograms/cubic meter (LC),2020-09-05 09:00:00
PM2.5,2020-09-05,10:00,2020-09-05,18:00,18.0,Micrograms/cubic meter (LC),2020-09-05 10:00:00
PM2.5,2020-09-05,11:00,2020-09-05,19:00,13.0,Micrograms/cubic meter (LC),2020-09-05 11:00:00
PM2.5,2020-09-05,12:00,2020-09-05,20:00,12.0,Micrograms/cubic meter (LC),2020-09-05 12:00:00
PM2.5,2020-09-05,13:00,2020-09-05,21:00,24.0,Micrograms/cubic meter (LC),2020-09-05 13:00:00
PM2.5,2020-09-05,14:00,2020-09-05,22:00,22.0,Micrograms/cubic meter (LC),2020-09-05 14:00:00
PM2.5,2020-09-05,15:00,2020-09-05,23:00,29.0,Micrograms/cubic meter (LC),2020-09-05 15:00:00
PM2.5,2020-09-05,16:00,2020-09-06,00:00,30.0,Micrograms/cubic meter (LC),2020-09-05 16:00:00
PM2.5,2020-09-05,17:00,2020-09-06,01:00,25.0,Micrograms/cubic meter (LC),2020-09-05 17:00:00
PM2.5,2020-09-05,18:00,2020-09-06,02:00,24.0,Micrograms/cubic meter (LC),2020-09-05 18:00:00
PM2.5,2020-09-05,19:00,2020-09-06,03:00,23.0,Micrograms/cubic meter (LC),2020-09-05 19:00:00
PM2.5,2020-09-05,20:00,2020-09-06,04:00,24.0,Micrograms/cubic meter (LC),2020-09-05 20:00:00
PM2.5,2020-09-05,21:00,2020-09-06,05:00,14.0,Micrograms/cubic meter (LC),2020-09-05 21:00:00
PM2.5,2020-09-05,22:00,2020-09-06,06:00,11.0,Micrograms/cubic meter (LC),2020-09-05 22:00:00
PM2.5,2020-09-05,23:00,2020-09-06,07:00,23.0,Micrograms/cubic meter (LC),2020-09-05 23:00:00
PM2.5,2020-09-06,00:00,2020-09-06,08:00,17.0,Micrograms/cubic meter (LC),2020-09-06 00:00:00
PM2.5,2020-09-06,01:00,2020-09-06,09:00,15.0,Micrograms/cubic meter (LC),2020-09-06 01:00:00
PM2.5,2020-09-06,02:00,2020-09-06,10:00,10.0,Micrograms/cubic meter (LC),2020-09-06 02:00:00
PM2.5,2020-09-06,03:00,2020-09-06,11:00,9.0,Micrograms/cubic meter (LC),2020-09-06 03:00:00
PM2.5,2020-09-06,04:00,2020-09-06,12:00,9.0,Micrograms/cubic meter (LC),2020-09-06 04:00:00
PM2.5,2020-09-06,05:00,2020-09-06,13:00,11.0,Micrograms/cubic meter (LC),2020-09-06 05:00:00
PM2.5,2020-09-06,06:00,2020-09-06,14:00,13.0,Micrograms/cubic meter (LC),2020-09-06 06:00:00
PM2.5,2020-09-06,07:00,2020-09-06,15:00,13.0,Micrograms/cubic meter (LC),2020-09-06 07:00:00
PM2.5,2020-09-06,08:00,2020-09-06,16:00,16.0,Micrograms/cubic meter (LC),2020-09-06 08:00:00
PM2.5,2020-09-06,09:00,2020-09-06,17:00,16.0,Micrograms/cubic meter (LC),2020-09-06 09:00:00
PM2.5,2020-09-06,10:00,2020-09-06,18:00,20.0,Micrograms/cubic meter (LC),2020-09-06 10:00:00
PM2.5,2020-09-06,11:00,2020-09-06,19:00,18.0,Micrograms/cubic meter (LC),2020-09-06 11:00:00
PM2.5,2020-09-06,12:00,2020-09-06,20:00,31.0,Micrograms/cubic meter (LC),2020-09-06 12:00:00
PM2.5,2020-09-06,13:00,2020-09-06,21:00,57.0,Micrograms/cubic meter (LC),2020-09-06 13:00:00
PM2.5,2020-09-06,14:00,2020-09-06,22:00,50.0,Micrograms/cubic meter (LC),2020-09-06 14:00:00
PM2.5,2020-09-06,15:00,2020-09-06,23:00,44.0,Micrograms/cubic meter (LC),2020-09-06 15:00:00
PM2.5,2020-09-06,16:00,2020-09-07,00:00,43.0,Micrograms/cubic meter (LC),2020-09-06 16:00:00
PM2.5,2020-09-06,17:00,2020-09-07,01:00,41.0,Micrograms/cubic meter (LC),2020-09-06 17:00:00
PM2.5,2020-09-06,18:00,2020-09-07,02:00,39.0,Micrograms/cubic meter (LC),2020-09-06 18:00:00
PM2.5,2020-09-06,19:00,2020-09-07,03:00,37.0,Micrograms/cubic meter (LC),2020-09-06 19:00:00
PM2.5,2020-09-06,20:00,2020-09-07,04:00,38.0,Micrograms/cubic meter (LC),2020-09-06 20:00:00
PM2.5,2020-09-06,21:00,2020-09-07,05:00,25.0,Micrograms/cubic meter (LC),2020-09-06 21:00:00
PM2.5,2020-09-06,22:00,2020-09-07,06:00,23.0,Micrograms/cubic meter (LC),2020-09-06 22:00:00
PM2.5,2020-09-06,23:00,2020-09-07,07:00,25.0,Micrograms/cubic meter (LC),2020-09-06 23:00:00
PM2.5,2020-09-07,00:00,2020-09-07,08:00,22.0,Micrograms/cubic meter (LC),2020-09-07 00:00:00
PM2.5,2020-09-07,01:00,2020-09-07,09:00,26.0,Micrograms/cubic meter (LC),2020-09-07 01:00:00
PM2.5,2020-09-07,02:00,2020-09-07,10:00,27.0,Micrograms/cubic meter (LC),2020-09-07 02:00:00
PM2.5,2020-09-07,03:00,2020-09-07,11:00,37.0,Micrograms/cubic meter (LC),2020-09-07 03:00:00
PM2.5,2020-09-07,04:00,2020-09-07,12:00,26.0,Micrograms/cubic meter (LC),2020-09-07 04:00:00
PM2.5,2020-09-07,05:00,2020-09-07,13:00,16.0,Micrograms/cubic meter (LC),2020-09-07 05:00:00
PM2.5,2020-09-07,06:00,2020-09-07,14:00,19.0,Micrograms/cubic meter (LC),2020-09-07 06:00:00
PM2.5,2020-09-07,07:00,2020-09-07,15:00,26.0,Micrograms/cubic meter (LC),2020-09-07 07:00:00
PM2.5,2020-09-07,08:00,2020-09-07,16:00,17.0,Micrograms/cubic meter (LC),2020-09-07 08:00:00
PM2.5,2020-09-07,09:00,2020-09-07,17:00,23.0,Micrograms/cubic meter (LC),2020-09-07 09:00:00
PM2.5,2020-09-07,10:00,2020-09-07,18:00,18.0,Micrograms/cubic meter (LC),2020-09-07 10:00:00
PM2.5,2020-09-07,11:00,2020-09-07,19:00,20.0,Micrograms/cubic meter (LC),2020-09-07 11:00:00
PM2.5,2020-09-07,12:00,2020-09-07,20:00,24.0,Micrograms/cubic meter (LC),2020-09-07 12:00:00
PM2.5,2020-09-07,13:00,2020-09-07,21:00,29.0,Micrograms/cubic meter (LC),2020-09-07 13:00:00
PM2.5,2020-09-07,14:00,2020-09-07,22:00,29.0,Micrograms/cubic meter (LC),2020-09-07 14:00:00
PM2.5,2020-09-07,15:00,2020-09-07,23:00,27.0,Micrograms/cubic meter (LC),2020-09-07 15:00:00
PM2.5,2020-09-07,16:00,2020-09-08,00:00,27.0,Micrograms/cubic meter (LC),2020-09-07 16:00:00
PM2.5,2020-09-07,17:00,2020-09-08,01:00,21.0,Micrograms/cubic meter (LC),2020-09-07 17:00:00
PM2.5,2020-09-07,18:00,2020-09-08,02:00,20.0,Micrograms/cubic meter (LC),2020-09-07 18:00:00
PM2.5,2020-09-07,19:00,2020-09-08,03:00,15.0,Micrograms/cubic meter (LC),2020-09-07 19:00:00
PM2.5,2020-09-07,20:00,2020-09-08,04:00,14.0,Micrograms/cubic meter (LC),2020-09-07 20:00:00
PM2.5,2020-09-07,21:00,2020-09-08,05:00,12.0,Micrograms/cubic meter (LC),2020-09-07 21:00:00
PM2.5,2020-09-07,22:00,2020-09-08,06:00,16.0,Micrograms/cubic meter (LC),2020-09-07 22:00:00
PM2.5,2020-09-07,23:00,2020-09-08,07:00,10.0,Micrograms/cubic meter (LC),2020-09-07 23:00:00
PM2.5,2020-09-08,00:00,2020-09-08,08:00,13.0,Micrograms/cubic meter (LC),2020-09-08 00:00:00
PM2.5,2020-09-08,01:00,2020-09-08,09:00,12.0,Micrograms/cubic meter (LC),2020-09-08 01:00:00
PM2.5,2020-09-08,02:00,2020-09-08,10:00,11.0,Micrograms/cubic meter (LC),2020-09-08 02:00:00
PM2.5,2020-09-08,03:00,2020-09-08,11:00,10.0,Micrograms/cubic meter (LC),2020-09-08 03:00:00
PM2.5,2020-09-08,04:00,2020-09-08,12:00,6.0,Micrograms/cubic meter (LC),2020-09-08 04:00:00
PM2.5,2020-09-08,05:00,2020-09-08,13:00,8.0,Micrograms/cubic meter (LC),2020-09-08 05:00:00
PM2.5,2020-09-08,06:00,2020-09-08,14:00,10.0,Micrograms/cubic meter (LC),2020-09-08 06:00:00
PM2.5,2020-09-08,07:00,2020-09-08,15:00,8.0,Micrograms/cubic meter (LC),2020-09-08 07:00:00
PM2.5,2020-09-08,08:00,2020-09-08,16:00,6.0,Micrograms/cubic meter (LC),2020-09-08 08:00:00
PM2.5,2020-09-08,09:00,2020-09-08,17:00,10.0,Micrograms/cubic meter (LC),2020-09-08 09:00:00
PM2.5,2020-09-08,10:00,2020-09-08,18:00,12.0,Micrograms/cubic meter (LC),2020-09-08 10:00:00
PM2.5,2020-09-08,11:00,2020-09-08,19:00,26.0,Micrograms/cubic meter (LC),2020-09-08 11:00:00
PM2.5,2020-09-08,12:00,2020-09-08,20:00,44.0,Micrograms/cubic meter (LC),2020-09-08 12:00:00
PM2.5,2020-09-08,13:00,2020-09-08,21:00,32.0,Micrograms/cubic meter (LC),2020-09-08 13:00:00
PM2.5,2020-09-08,14:00,2020-09-08,22:00,21.0,Micrograms/cubic meter (LC),2020-09-08 14:00:00
PM2.5,2020-09-08,15:00,2020-09-08,23:00,13.0,Micrograms/cubic meter (LC),2020-09-08 15:00:00
PM2.5,2020-09-08,16:00,2020-09-09,00:00,10.0,Micrograms/cubic meter (LC),2020-09-08 16:00:00
PM2.5,2020-09-08,17:00,2020-09-09,01:00,7.0,Micrograms/cubic meter (LC),2020-09-08 17:00:00
PM2.5,2020-09-08,18:00,2020-09-09,02:00,8.0,Micrograms/cubic meter (LC),2020-09-08 18:00:00
PM2.5,2020-09-08,19:00,2020-09-09,03:00,7.0,Micrograms/cubic meter (LC),2020-09-08 19:00:00
PM2.5,2020-09-08,20:00,2020-09-09,04:00,9.0,Micrograms/cubic meter (LC),2020-09-08 20:00:00
PM2.5,2020-09-08,21:00,2020-09-09,05:00,8.0,Micrograms/cubic meter (LC),2020-09-08 21:00:00
PM2.5,2020-09-08,22:00,2020-09-09,06:00,6.0,Micrograms/cubic meter (LC),2020-09-08 22:00:00
PM2.5,2020-09-08,23:00,2020-09-09,07:00,10.0,Micrograms/cubic meter (LC),2020-09-08 23:00:00
PM2.5,2020-09-09,00:00,2020-09-09,08:00,12.0,Micrograms/cubic meter (LC),2020-09-09 00:00:00
PM2.5,2020-09-09,01:00,2020-09-09,09:00,16.0,Micrograms/cubic meter (LC),2020-09-09 01:00:00
PM2.5,2020-09-09,02:00,2020-09-09,10:00,13.0,Micrograms/cubic meter (LC),2020-09-09 02:00:00
PM2.5,2020-09-09,03:00,2020-09-09,11:00,14.0,Micrograms/cubic meter (LC),2020-09-09 03:00:00
PM2.5,2020-09-09,04:00,2020-09-09,12:00,20.0,Micrograms/cubic meter (LC),2020-09-09 04:00:00
PM2.5,2020-09-09,05:00,2020-09-09,13:00,23.0,Micrograms/cubic meter (LC),2020-09-09 05:00:00
PM2.5,2020-09-09,06:00,2020-09-09,14:00,22.0,Micrograms/cubic meter (LC),2020-09-09 06:00:00
